id_empresa,ruc,empresa,sector,departamento,banco_referencia,liquidez,endeudamiento,flujo,historial,clasificacion_sbs,riesgo_esperado,recomendacion_esperada,alerta_kyc,fuente
PER-015,20269985904,Pluz Energía Perú S.A.A. (ex Enel Distribución),Servicios Públicos y Energía,Lima,Banco de Crédito del Perú (BCP),1.25,0.52,Positivo,Bueno,Normal,Bajo,Aprobar,Monopolio regulado de distribución eléctrica en Lima Norte. Riego regulatorio bajo.,BVL / SMV Auditado
PER-016,20100079501,Compañía de Minas Buenaventura S.A.A.,Minería,Lima,Banco de Crédito del Perú (BCP),2.59,0.35,Positivo,Bueno,Normal,Bajo,Aprobar,Productora emblemática de oro y plata. Cotiza en BVL y NYSE con alta solvencia.,BVL / SMV Auditado
PER-017,20542311488,A & G Misti Constructores S.A.C.,Construcción,San Martín,Banco de Crédito del Perú (BCP),1.05,0.78,Variable,Regular,Con Problemas Potenciales (CPP),Medio,Evaluar,Contratista de obras de infraestructura vial en selva alta. Supervisar valorizaciones.,Reactiva Perú / SUNAT
PER-018,20601959217,A y N Calzados S.A.C.,Industria Manufacturera,Lima,Banco de Crédito del Perú (BCP),1.35,0.55,Positivo,Bueno,Normal,Bajo,Aprobar,PYME manufacturera con ventas estables a cadenas retail locales.,Reactiva Perú / SUNAT
PER-019,20524693250,2L Soluciones S.A.C.,Servicios Empresariales,Lima,Banco de Crédito del Perú (BCP),1.18,0.69,Variable,Regular,Con Problemas Potenciales (CPP),Medio,Evaluar,Servicios de consultoría y alquiler de equipos de cómputo. Cartera concentrada.,Reactiva Perú / SUNAT
PER-020,20551286348,3P Inversiones S.A.C.,Comercio,Lima,Banco de Crédito del Perú (BCP),0.85,0.84,Negativo,Malo,Dudoso,Alto,Rechazar,Venta al por mayor con rotación lenta de inventarios y retrasos tributarios.,Reactiva Perú / SUNAT
PER-021,20553879150,Ñusta Sagrada S.A.C.,Hoteles y Turismo,Cusco,BBVA Perú,0.72,0.89,Negativo,Regular,Con Problemas Potenciales (CPP),Alto,Evaluar,Operador hotelero en Valle Sagrado; sensible a paralizaciones y temporadas turísticas.,Reactiva Perú / SUNAT
PER-022,20546964184,AC Proyectos Generales S.A.C.,Industria Manufacturera,Lima,Banco de Crédito del Perú (BCP),1.4,0.6,Positivo,Bueno,Normal,Bajo,Aprobar,Fabricación de estructuras metálicas para proyectos industriales privados.,Reactiva Perú / SUNAT
PER-023,20601806461,Acerias Tefolca S.A.C.,Comercio,Lima,Banco de Crédito del Perú (BCP),1.12,0.73,Variable,Regular,Con Problemas Potenciales (CPP),Medio,Evaluar,Comercializadora de productos de acero y fierro. Margen operativo estrecho.,Reactiva Perú / SUNAT
PER-024,20524657296,ACR Importaciones Generales E.I.R.L.,Comercio,Lima,Banco de Crédito del Perú (BCP),0.78,0.86,Negativo,Malo,Deficiente,Alto,Rechazar,Riesgo cambiario por importación en dólares y venta en soles no coberturada.,Reactiva Perú / SUNAT
PER-025,20513076100,DP World Callao S.R.L.,Transporte y Logística Portuaria,Callao,Scotiabank Perú,1.6,0.48,Positivo,Bueno,Normal,Bajo,Aprobar,Concesionario del Muelle Sur del Callao. Alto flujo en divisas y respaldo internacional.,BVL / MTC Concesión
