caso_id,asunto,cuerpo,producto_relacionado,canal,monto_soles,fecha_evento,dificultad,es_simulado
QUEJA_011,La app no me permite transferir,Desde ayer intento transferir a una cuenta que uso regularmente y la aplicación muestra error al confirmar. No hay movimientos desconocidos; necesito poder usar el servicio.,BANCA_MOVIL,APP,,2026-09-09,FACIL,SI
QUEJA_012,Demora excesiva en agencia,Esperé más de una hora para ser atendido en ventanilla y luego me indicaron que debía volver otro día porque el sistema estaba caído.,ATENCION_AGENCIA,AGENCIA,,2026-09-08,FACIL,SI
QUEJA_013,Transferencia autorizada no llega,"Ayer transferí S/ 950 a mi proveedor. Yo sí autoricé la operación y el dinero fue descontado, pero el beneficiario todavía no lo recibe después de más de 24 horas.",TRANSFERENCIAS,APP,950.00,2026-09-12,AMBIGUO,SI
QUEJA_014,Cajero retuvo mi tarjeta,"El cajero automático retuvo mi tarjeta después de mostrar un error. No observo consumos desconocidos, pero necesito recuperar o reemplazarla y no obtuve una respuesta clara.",CAJERO_AUTOMATICO,CAJERO,,2026-09-07,MEDIO,SI
QUEJA_015,No puedo completar apertura digital,Estoy intentando abrir una cuenta desde la web y el proceso se queda detenido en la validación de identidad. Ya repetí el procedimiento tres veces y no termina.,APERTURA_DIGITAL,WEB,,2026-09-06,MEDIO,SI
QUEJA_016,Reposición de tarjeta sigue pendiente,Solicité una nueva tarjeta hace diez días por deterioro. Me indicaron que llegaría en cinco días y todavía no la recibo.,TARJETA_DEBITO,CALL_CENTER,,2026-09-10,FACIL,SI
QUEJA_017,Llamada se corta durante la atención,He intentado comunicarme cuatro veces para actualizar mis datos. Después de varios minutos de espera la llamada se corta antes de terminar el trámite.,ATENCION_CLIENTE,CALL_CENTER,,2026-09-11,FACIL,SI
QUEJA_018,Respuesta de reclamo vencida,Registré un reclamo hace varias semanas y en el canal digital continúa apareciendo como pendiente. Necesito conocer el estado porque no recibí ninguna comunicación.,GESTION_RECLAMOS,WEB,,2026-09-12,MEDIO,SI
QUEJA_019,Pago programado no se ejecutó,"Programé el pago de mi recibo y la aplicación confirmó la programación, pero llegó la fecha y no se procesó. No existe ningún movimiento que yo desconozca.",PAGOS,APP,210.00,2026-09-13,AMBIGUO,SI
QUEJA_020,Asesor dio información contradictoria,En agencia me dijeron que podía completar el trámite por internet; en la web me indican que debo ir a la agencia. Llevo tres intentos sin poder finalizarlo.,ATENCION_CLIENTE,AGENCIA,,2026-09-14,AMBIGUO,SI
QUEJA_021,Cobro de membresía no esperado,En mi estado de cuenta aparece una membresía anual de S/ 160. Cuando contraté la tarjeta entendí que no se cobraría si cumplía ciertas condiciones y necesito que revisen el cargo.,TARJETA_CREDITO,APP,160.00,2026-09-10,FACIL,SI
QUEJA_022,Tasa distinta a la ofrecida,"Al contratar mi préstamo me informaron una tasa menor, pero en el cronograma figura una TEA superior. La operación fue solicitada por mí; mi disconformidad es con las condiciones aplicadas.",PRESTAMO_PERSONAL,WEB,18000.00,2026-09-05,MEDIO,SI
QUEJA_023,Comisión de mantenimiento,Me están cobrando S/ 12 mensuales por mantenimiento de una cuenta que pensé que no tenía esa comisión. Quisiera que aclaren la condición del producto.,CUENTA_AHORROS,APP,12.00,2026-09-04,FACIL,SI
QUEJA_024,Beneficio de tarjeta no aplicado,"Elegí esta tarjeta porque se ofrecía devolución en compras de supermercados, pero después de dos meses no veo el beneficio. El asesor me indicó una condición distinta de la que ahora aparece.",TARJETA_CREDITO,APP,,2026-09-03,AMBIGUO,SI
QUEJA_025,Seguro asociado al crédito,En las cuotas de mi préstamo figura un cobro por seguro que no entendí al momento de contratar. No desconozco el préstamo; quiero revisar si esa condición estaba incluida y cómo se calcula.,PRESTAMO_PERSONAL,APP,,2026-09-02,MEDIO,SI
QUEJA_026,Interés de tarjeta mayor al esperado,Pagué solo una parte de mi estado de cuenta y el siguiente periodo muestra intereses mayores de lo que esperaba. Quiero entender la forma de cálculo aplicada a mi tarjeta.,TARJETA_CREDITO,APP,,2026-09-11,FACIL,SI
QUEJA_027,Cobro por saldo mínimo,Mi cuenta registra una comisión porque el saldo promedio fue menor al requerido. No tenía claro que esa condición formara parte del producto cuando abrí la cuenta.,CUENTA_AHORROS,APP,,2026-09-12,MEDIO,SI
QUEJA_028,Límite de crédito distinto al solicitado,"Solicité una tarjeta con una línea determinada, pero después de la evaluación me asignaron un límite menor. Quiero conocer las condiciones y criterios del producto que contraté.",TARJETA_CREDITO,WEB,,2026-09-13,AMBIGUO,SI
QUEJA_029,Tipo de cambio y comisión,"Hice una compra en dólares que sí reconozco, pero el monto final en soles incluye un tipo de cambio y una comisión que no esperaba. Quiero conocer cómo se aplicó.",TARJETA_CREDITO,APP,410.00,2026-09-14,AMBIGUO,SI
QUEJA_030,Costo por pago anticipado,Quiero cancelar antes mi financiamiento y me informaron que existe un cargo asociado. Necesito que me expliquen si ese costo corresponde a las condiciones que acepté.,FINANCIAMIENTO,AGENCIA,,2026-09-15,MEDIO,SI
